Experiment No.,Experiment Directory,Experiment Title,Accuracy
1,FashionMNIST_expt1,"3 Sequential layers : 200 + ReLU, 50 + ReLU, 10 + Sigmoid",87.42
2,FashionMNIST_expt2,"4 Sequential layers : 200 + ReLU, 100 + ReLU, 50 + ReLU, 10 + Sigmoid",87.56
3,FashionMNIST_expt3,"5 Sequential layers : 500 + ReLU, 200 + ReLU, 100 + ReLU, 50 + ReLU, 10 + Sigmoid",88.61
4,FashionMNIST_expt4,"7 Sequential layers : 500 + ReLU, 350 + ReLU, 200 + ReLU, 100 + ReLU, 50 + ReLU, 25 + ReLU, 10 + Sigmoid",87.91
5,FashionMNIST_expt5,"10 Sequential layers : 1000 + ReLU, 800 + ReLU, 650 + ReLU, 500 + ReLU, 350 + ReLU, 200 + ReLU, 100 + ReLU, 50 + ReLU, 25 + ReLU, 10 + Sigmoid",88.18
6,FashionMNIST_expt6,"2 Sequential layers : 10000 + ReLU, 10 + Sigmoid",88.29
7,FashionMNIST_expt7,"2 Sequential layers : 500 + ReLU, 10 + Sigmoid",88.5
8,FashionMNIST_expt8,"3 Sequential layers : 50 + ReLU, 30 + ReLU, 10 + Sigmoid",87.17
9,FashionMNIST_expt9,"3 Sequential layers : 50 + ReLU, 30 + ReLU, 10 + Softmax",87.01
10,FashionMNIST_expt10,"5 Sequential layers : 100 + ReLU, 50 + ReLU, 150 + ReLU, 50 + ReLU, 10 + Sigmoid",87.17
